date,actual,sarimax,sarimax_lower,sarimax_upper
2016-05-13 19:00:00,208.33333333333331,204.51357656176015,84.81772665064311,324.20942647287717
2016-05-13 20:00:00,120.0,179.39875126019294,52.110387260559094,306.6871152598268
2016-05-13 21:00:00,63.333333333333336,129.73819689436212,-4.622574535938043,264.0989683246623
2016-05-13 22:00:00,55.0,100.22563339959024,-36.946626624837165,237.39789342401764
2016-05-13 23:00:00,61.66666666666666,87.7665406587586,-50.84059478489365,226.37367610241085
2016-05-14 00:00:00,58.333333333333336,74.79260140664714,-64.7485572361813,214.3337600494756
2016-05-14 01:00:00,63.333333333333336,69.02853723147976,-70.90275305947543,208.95982752243495
2016-05-14 02:00:00,60.0,63.74048323077761,-76.42322094184232,203.90418740339754
2016-05-14 03:00:00,60.0,60.238347862170414,-80.0381588643606,200.51485458870144
2016-05-14 04:00:00,60.0,59.77411252901513,-80.56237582428614,200.1106008823164
2016-05-14 05:00:00,56.66666666666666,67.70977584658878,-72.65833088525237,208.07788257842992
2016-05-14 06:00:00,63.333333333333336,78.23136809877792,-62.152827404388034,218.61556360194388
2016-05-14 07:00:00,113.33333333333331,105.76118904498055,-34.63155883010823,246.15393692006933
2016-05-14 08:00:00,133.33333333333334,123.68351415012506,-16.713628570127156,264.0806568703773
2016-05-14 09:00:00,118.33333333333331,107.35240379443312,-33.04704304156701,247.75185063043324
2016-05-14 10:00:00,158.33333333333334,114.15266215543848,-26.247983358717576,254.55330766959452
2016-05-14 11:00:00,96.66666666666669,124.1860948688375,-16.215174006810912,264.5873637444859
2016-05-14 12:00:00,116.66666666666669,119.25055683197448,-21.15103750814606,259.65215117209505
2016-05-14 13:00:00,113.33333333333331,113.18098527882687,-27.22077824171133,253.58274879936505
2016-05-14 14:00:00,106.66666666666669,109.75894015518585,-30.642911600946604,250.1607919113183
2016-05-14 15:00:00,130.0,102.53790621620693,-37.86399147027528,242.93980390268916
2016-05-14 16:00:00,111.66666666666669,135.9593730035751,-4.442548605451606,276.3612946126018
2016-05-14 17:00:00,241.66666666666663,189.20276404911726,48.80083017706292,329.6046979211716
2016-05-14 18:00:00,166.66666666666666,186.33426071082323,45.93232034736715,326.7362010742793
2016-05-14 19:00:00,90.0,136.58497480682183,16.86020477850316,256.3097448351405
2016-05-14 20:00:00,86.66666666666667,111.3153518173654,-15.953880294922072,238.58458392965287
2016-05-14 21:00:00,75.0,76.5254004435584,-57.9430763482533,210.9938772353701
2016-05-14 22:00:00,61.66666666666666,64.3957423200654,-72.84418106315435,201.63566570328516
2016-05-14 23:00:00,48.333333333333336,56.02246312955607,-82.58977902775642,194.63470528686855
2016-05-15 00:00:00,53.333333333333336,54.67537098409517,-84.84324634732349,194.19398831551382
2016-05-15 01:00:00,55.0,55.004879708128115,-84.86791969566399,194.8776791119202
2016-05-15 02:00:00,51.66666666666666,54.35195250847134,-85.73386009001742,194.43776510696011
2016-05-15 03:00:00,40.0,53.489617668014716,-86.69498538636068,193.67422072239012
2016-05-15 04:00:00,51.66666666666666,54.04288399512588,-86.19323332628765,194.2790013165394
2016-05-15 05:00:00,56.66666666666666,62.93869134779399,-77.32404117906452,203.2014238746525
2016-05-15 06:00:00,51.66666666666666,72.11943269505448,-68.15635208061525,212.39521747072422
2016-05-15 07:00:00,93.33333333333331,101.62364258932426,-38.65897624590362,241.90626142455216
2016-05-15 08:00:00,118.33333333333331,119.16482021487417,-21.121193935687245,259.4508343654356
2016-05-15 09:00:00,101.66666666666669,109.52811278741842,-30.759642865650022,249.81586844048687
2016-05-15 10:00:00,108.33333333333331,119.23113063416343,-21.057507180329424,259.5197684486563
2016-05-15 11:00:00,105.0,120.36817475071348,-19.920909455711552,260.65725895713854
2016-05-15 12:00:00,96.66666666666669,115.89613199872483,-24.39317977707563,256.1854437745253
2016-05-15 13:00:00,136.66666666666666,109.38424211309835,-30.905184703620435,249.67366892981715
2016-05-15 14:00:00,88.33333333333333,104.64216765016054,-35.64731770338834,244.9316530037094
2016-05-15 15:00:00,93.33333333333331,99.88588072410606,-40.40363430191222,240.17539575012432
2016-05-15 16:00:00,143.33333333333334,125.75298924116686,-14.536540844126222,266.0425193264599
2016-05-15 17:00:00,236.66666666666663,187.7786770018642,47.489139401117285,328.0682146026111
2016-05-15 18:00:00,98.33333333333331,181.68193267452753,41.392391194538874,321.97147415451616
2016-05-15 19:00:00,96.66666666666669,109.16523879426246,-10.023732311817184,228.3542099003421
2016-05-15 20:00:00,246.66666666666663,85.22187520610979,-41.51137871343215,211.95512912565172
2016-05-15 21:00:00,203.33333333333331,58.67830016874588,-75.16798127222883,192.5245816097206
2016-05-15 22:00:00,86.66666666666667,47.49129200704215,-89.13072855553187,184.11331256961617
2016-05-15 23:00:00,83.33333333333333,41.82735534728491,-96.1807479098243,179.83545860439412
2016-05-16 00:00:00,61.66666666666666,44.450552453266965,-94.47059841340501,183.37170331993894
2016-05-16 01:00:00,53.333333333333336,45.791125925890725,-93.48843303770045,185.0706848894819
2016-05-16 02:00:00,56.66666666666666,46.53405639790611,-92.96062561867475,186.02873841448698
2016-05-16 03:00:00,53.333333333333336,46.23588126083004,-93.35903917097417,185.83080169263425
2016-05-16 04:00:00,55.0,47.915926297274694,-91.73134897870548,187.56320157325487
2016-05-16 05:00:00,51.66666666666666,56.20174961948561,-83.47260213867628,195.8761013776475
2016-05-16 06:00:00,53.333333333333336,64.71207144441294,-74.97559434952757,204.39973723835345
2016-05-16 07:00:00,61.66666666666666,96.49199170085616,-43.20265107528725,236.1866344769996
2016-05-16 08:00:00,88.33333333333333,115.79068209275543,-23.907435730583913,255.48879991609476
