date,actual,foundation_chronos
2016-05-13 19:00:00,208.33333333333331,118.37319
2016-05-13 20:00:00,120.0,105.71478
2016-05-13 21:00:00,63.333333333333336,74.92407
2016-05-13 22:00:00,55.0,60.897194
2016-05-13 23:00:00,61.66666666666666,57.476
2016-05-14 00:00:00,58.333333333333336,56.791763
2016-05-14 01:00:00,63.333333333333336,56.791763
2016-05-14 02:00:00,60.0,58.16024
2016-05-14 03:00:00,60.0,56.791763
2016-05-14 04:00:00,60.0,54.73905
2016-05-14 05:00:00,56.66666666666666,56.791763
2016-05-14 06:00:00,63.333333333333336,61.581432
2016-05-14 07:00:00,113.33333333333331,73.89772
2016-05-14 08:00:00,133.33333333333334,73.213486
2016-05-14 09:00:00,118.33333333333331,68.081696
2016-05-14 10:00:00,158.33333333333334,71.84501
2016-05-14 11:00:00,96.66666666666669,85.87189
2016-05-14 12:00:00,116.66666666666669,91.00368
2016-05-14 13:00:00,113.33333333333331,89.97731
2016-05-14 14:00:00,106.66666666666669,79.02951
2016-05-14 15:00:00,130.0,76.63467
2016-05-14 16:00:00,111.66666666666669,81.082214
2016-05-14 17:00:00,241.66666666666663,94.08274
2016-05-14 18:00:00,166.66666666666666,105.03055
2016-05-14 19:00:00,90.0,119.09524
2016-05-14 20:00:00,86.66666666666667,104.292435
2016-05-14 21:00:00,75.0,78.05112
2016-05-14 22:00:00,61.66666666666666,70.986145
2016-05-14 23:00:00,48.333333333333336,64.93045
2016-05-15 00:00:00,53.333333333333336,60.893326
2016-05-15 01:00:00,55.0,59.88405
2016-05-15 02:00:00,51.66666666666666,59.88405
2016-05-15 03:00:00,40.0,59.88405
2016-05-15 04:00:00,51.66666666666666,59.88405
2016-05-15 05:00:00,56.66666666666666,61.22975
2016-05-15 06:00:00,51.66666666666666,69.97686
2016-05-15 07:00:00,93.33333333333331,65.266884
2016-05-15 08:00:00,118.33333333333331,86.12537
2016-05-15 09:00:00,101.66666666666669,75.02327
2016-05-15 10:00:00,108.33333333333331,75.69612
2016-05-15 11:00:00,105.0,71.659
2016-05-15 12:00:00,96.66666666666669,85.78894
2016-05-15 13:00:00,136.66666666666666,75.69612
2016-05-15 14:00:00,88.33333333333333,76.70541
2016-05-15 15:00:00,93.33333333333331,79.060394
2016-05-15 16:00:00,143.33333333333334,87.47108
2016-05-15 17:00:00,236.66666666666663,81.751816
2016-05-15 18:00:00,98.33333333333331,82.42467
2016-05-15 19:00:00,96.66666666666669,88.44805
2016-05-15 20:00:00,246.66666666666663,79.770134
2016-05-15 21:00:00,203.33333333333331,66.75325
2016-05-15 22:00:00,86.66666666666667,56.74026
2016-05-15 23:00:00,83.33333333333333,54.737663
2016-05-16 00:00:00,61.66666666666666,53.402603
2016-05-16 01:00:00,53.333333333333336,53.402603
2016-05-16 02:00:00,56.66666666666666,51.4
2016-05-16 03:00:00,53.333333333333336,52.401302
2016-05-16 04:00:00,55.0,53.402603
2016-05-16 05:00:00,51.66666666666666,55.405197
2016-05-16 06:00:00,53.333333333333336,60.74546
2016-05-16 07:00:00,61.66666666666666,57.74156
2016-05-16 08:00:00,88.33333333333333,56.74026
2016-05-16 09:00:00,70.0,54.737663
2016-05-16 10:00:00,148.33333333333334,57.40779
2016-05-16 11:00:00,103.33333333333331,53.402603
2016-05-16 12:00:00,206.66666666666663,56.74026
2016-05-16 13:00:00,266.6666666666667,55.07143
2016-05-16 14:00:00,88.33333333333333,54.070133
2016-05-16 15:00:00,111.66666666666669,56.406494
2016-05-16 16:00:00,88.33333333333333,60.74546
2016-05-16 17:00:00,243.33333333333331,86.44546
2016-05-16 18:00:00,155.0,89.115585
2016-05-16 19:00:00,115.0,103.37664
2016-05-16 20:00:00,96.66666666666669,94.87527
2016-05-16 21:00:00,68.33333333333333,71.4115
2016-05-16 22:00:00,46.66666666666666,59.849636
2016-05-16 23:00:00,60.0,55.088867
